Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
6/8/2016,Wednesday,2119.12,1,-13,6,7,2012.3118,0,-12.95,14.85,4.39,3.16,0.51,-1.59,-2.25,-0.17,0.33,14.08,18.656,17.94409091
6/9/2016,Thursday,2115.48,2,-12,5,5,2013.42315,1,-12.2,14.95,5.95,3.11,1.02,-0.10,-1.77,-0.92,-0.17,14.64,19.602,17.89454545
6/10/2016,Friday,2096.07,3,-12,4,6,2014.56545,1,-11.37,15.90,7.16,1.51,2.68,-2.80,-1.19,-0.81,-0.92,17.03,20.078,17.71318182
6/13/2016,Monday,2079.06,6,-12,2,5,2015.2582,1,-12.37,17.38,8.68,3.85,3.53,-3.78,0.20,-0.18,-0.81,20.97,19.558,17.34272727
6/14/2016,Tuesday,2075.32,4,-13,2,5,2015.6965,1,-13.73,17.47,8.75,2.49,4.26,-1.89,0.65,-0.18,-0.18,20.5,19.154,16.98681818
6/15/2016,Wednesday,2071.5,2,-13,1,4,2016.10965,2,-12.96,17.43,9.67,2.62,4.36,-0.04,0.67,0.31,-0.18,20.14,19.36,16.63681818
6/16/2016,Thursday,2077.99,1,-13,2,5,2016.6387,0,-12.88,17.09,8.44,3.33,4.28,1.00,1.70,-0.33,0.31,19.37,18.936,16.30045455
6/17/2016,Friday,2071.22,1,-13,2,5,2017.42555,0,-11.9,18.45,9.21,3.28,4.47,1.53,-1.63,0.58,-0.33,19.41,20.206,15.95318182
6/20/2016,Monday,2083.25,1,-13,5,6,2018.0975,0,-13.4,16.98,8.39,2.68,4.31,0.25,-3.97,0.27,0.58,18.37,21.302,15.69727273
6/21/2016,Tuesday,2088.9,1,-13,6,6,2018.78635,0,-13.23,16.60,8.31,2.43,3.65,0.52,-2.53,-0.17,0.27,18.48,21.356,15.40363636
6/22/2016,Wednesday,2085.45,1,-13,6,6,2019.6075,0,-12.08,16.74,8.89,3.72,4.30,0.60,-0.70,1.34,-0.17,21.17,20.45,15.02636364
